Step T Etot StepSize Error SunX SunY SunZ JupiterX JupiterY JupiterZ SaturnX SaturnY SaturnZ UranusX UranusY UranusZ NeptuneX NeptuneY NeptuneZ 67P/C-GX 67P/C-GY 67P/C-GZ 
48 4158.931427892016 -6.396670672815642e+22 51.37978495833133 0.3025832671819106 0.0021537346768918985 0.0009494774623567831 3.5916273269321966e-05 -3.9854861694867965 -3.6686321195289784 0.10440761343529038 6.849758751699497 6.11648289770349 -0.37925682859181664 9.240402405897951 -17.4136492296761 -0.18508630904562517 -11.326551204006734 27.74295317879806 -0.31099555708581067 -1.4031552782127132 2.4650023225613444 1.1126915692496997 
49 4217.66221349076 -6.3966706724682515e+22 58.73078559874438 0.3354094888542978 0.001930950409319734 0.001158417190157178 3.969985198368664e-05 -3.6781209152181544 -3.962031931705138 0.098707603285392 6.609181510306355 6.355969278793887 -0.37393586909815013 9.44208443723734 -17.314969847706955 -0.18734056440075297 -11.4981146150325 27.673942396707243 -0.30563136263604807 -1.9588122223270457 2.138959254879011 1.2280411525707196 
50 4283.42697516414 -6.39667067191347e+22 65.76476167337918 0.4325242882089545 0.0016577028257782256 0.001366153570395304 4.4485747025451594e-05 -3.3058889781335834 -4.260161416288663 0.0915719108306769 6.329441169534805 6.6141532593077725 -0.3673913301560657 9.666427393530213 -17.201736239310804 -0.18983516570740738 -11.68970721886075 27.59541993366058 -0.2996109604187662 -2.5052791703604247 1.6919464275686666 1.3099341910949114 
51 4353.41659910453 -6.396670671262122e+22 69.98962394039067 0.5357017488608953 0.0013420851781883619 0.0015541896385413373 5.0164846948129186e-05 -2.880234035126391 -4.539262753511787 0.08316052070942664 6.020165587460379 6.876815751330322 -0.3597545112400983 9.903410972897294 -17.078078495191335 -0.1924552278584652 -11.892996805509844 27.51041074625693 -0.29318814283761885 -2.9890091837966852 1.1500728591384364 1.3459241766343113 
52 4424.782632134254 -6.396670670636536e+22 71.36603302972321 0.7171640812215531 0.0009973367735822349 0.0017081317835128148 5.651221948533769e-05 -2.418622593383101 -4.780308827512351 0.07378775770695334 5.693064404754121 7.131219870030287 -0.3512653745296886 10.143131416547094 -16.94867341525167 -0.19508942200153673 -12.099624180660921 27.422203359612844 -0.2866227503346203 -3.3764171200588575 0.5563108255211976 1.3348444094567595 
53 4493.427861433708 -6.396670670113668e+22 68.64522929945437 0.340150439840819 0.000647468056143195 0.0018178574016828866 6.30778710980332e-05 -1.9522372826798025 -4.968066587460074 0.06409103458344108 5.367790686942707 7.362608065501103 -0.34244327117116624 10.371839160267934 -16.82107129902036 -0.19758713666226307 -12.297734469337026 27.33590940399385 -0.2802925084444474 -3.6523722151188456 -0.03147765606948261 1.285783734992219 
54 4570.079009165473 -6.396670669661297e+22 76.65114773176471 0.422503177412909 0.00024022348924741907 0.0018935179159399735 7.085058117672388e-05 -1.4105486592193683 -5.123898786055047 0.052575332071657654 4.992934236743004 7.604949663158511 -0.3318480229493964 10.62500142047688 -16.674993908918374 -0.20033387771988395 -12.518196185782825 27.2378774726117 -0.27320683898360226 -3.857370826260583 -0.6867612050709954 1.1947353573722472 
55 4652.037730778813 -6.396670669726632e+22 81.95872161334061 0.24381721887376717 -0.00020856662730294302 0.0019172779675683271 7.95537747514354e-05 -0.8134894744428117 -5.224930254287084 0.039594619342185305 4.579409255843607 7.844661718543082 -0.31967315989162304 10.893045014204924 -16.514650019374482 -0.20322086713990473 -12.753028275881249 27.131111166056666 -0.2656110239142924 -3.9689361164154167 -1.368369295283439 1.0640210124107483 
56 4749.857089303455 -6.3966706764220155e+22 97.81935852464187 0.4141406607987514 -0.0007525535724186927 0.0018655842976792432 9.026854867534893e-05 -0.08731490741015668 -5.253597717311514 0.02342330057836675 4.070074845914299 8.103513723229916 -0.30403639215459305 11.20928973027106 -16.317726195285715 -0.20659808459042628 -13.032070698592912 27.001061771870685 -0.2565196446840251 -3.9760009058303845 -2.1377659454717293 0.8743731520980158 
57 4854.868802922918 -6.396670693820935e+22 105.01171361946263 0.38983815268665656 -0.0013328927164515051 0.0017110395578168072 0.00010187284078801315 0.6936874798594477 -5.170485807369002 0.005567159257122076 3.5061666770298303 8.347176919837418 -0.2859681773482248 11.544224839619718 -16.099691413720915 -0.21013952415672338 -13.330103905705576 26.858290408879682 -0.2467298093584596 -3.854947714091963 -2.894753091945641 0.6424555210676851 
